style,mood,tempo_bpm,instrumentation,vocal_style,sample_artists,production_notes,decade_range,prompt
Afrobeats - Modern,"sunny, rhythmic",95-110,"syncopated drums, marimbas, plucks",melodic uplift,Burna Boy; Wizkid; Davido; Tiwa Savage,"swing groove, percussion layers, warm bus glue",2010s-2020s,"Modern Afrobeats with syncopated percussion layers, bright marimba melodies, rhythmic synth plucks, melodic vocal uplift, swing groove pocket, warm mix glue, danceable tempo, tropical atmosphere, layered drum patterns, sunny positive vibes"
Metal - Modern,"aggressive, intense",120-180,"7-string guitars, double-kick, synth layers",screamed/clean mix,Bring Me The Horizon; Architects; Periphery; Sleep Token,"down-tuned guitars, parallel compression, wide rooms",2000s-2020s,"Modern metal with down-tuned 7-string guitars, double-kick drum assault, aggressive palm-muted riffing, dynamic harsh-clean vocal mix, synth atmosphere layers, parallel drum compression, wide room ambiance, heavy yet polished production, intense breakdowns"
Country - Outlaw,"gritty, rebellious",95-115,"telecaster, harmonica, shuffle drums",gravelly baritone,Johnny Cash; Waylon Jennings; Willie Nelson; Merle Haggard,"spring reverb, tape slapback, dry kick",1960s-1970s,"Outlaw country with twangy Telecaster bites, gravelly baritone vocals, shuffle drum groove, harmonica wails, spring reverb ambiance, tape slapback echo, dry kick punch, minimal production polish, rebellious attitude, gritty authentic tone"
Funk - 70s,"playful, danceable",100-120,"wah guitar, clav, horn stabs",call-and-response,James Brown; Chic; Parliament; Earth Wind & Fire,"dry drums, tight bass, short room on horns",1970s,"70s funk with tight slap bass grooves, wah-wah guitar rhythms, clavinet stabs, horn section punches, call-and-response vocals, dry tight drum sound, short room acoustics, syncopated rhythms, danceable pocket, playful energetic vibe"
Drum & Bass - Liquid,"flowing, uplifting",170-176,"rolling breaks, warm bass, lush pads",airy hooks,High Contrast; Netsky; Calibre; Logistics,"tight break edits, airy atmos, stereo wideners",2000s-2010s,"Liquid drum and bass with rolling breakbeat edits, warm sub bass tones, lush atmospheric pads, airy vocal hooks, uplifting chord progressions, tight break programming, stereo width enhancement, flowing melodic movement, smooth transitions, emotional depth"
Synthwave - Cinematic,"neon, expansive",90-115,"retro synths, big toms, arps",limited vocal lines,The Midnight; Kavinsky; Perturbator; Carpenter Brut,"huge reverbs, tape saturation, sidechain pulses",2010s-2020s,"Cinematic synthwave with retro analog arpeggios, neon synth pad layers, big cinematic toms, expansive reverb spaces, tape saturation character, sidechain pulse rhythm, nostalgic 80s aesthetic, epic crescendo builds, modern production clarity"
Jazz - Lo-fi Lounge,"relaxed, smoky",70-95,"upright bass, brush kit, jazz guitar",soft lounge,Chet Baker; Stan Getz; Bill Evans; Miles Davis,"tape hiss, gentle EQ tilt, close room",1950s-1960s,"Lo-fi lounge jazz with upright bass walking lines, brush kit subtlety, smoky jazz guitar chords, soft vocal delivery, tape hiss ambiance, gentle EQ tilt warmth, close intimate room, late-night atmosphere, relaxed tempo, vintage character"
Latin - Bossa Nova,"romantic, breezy",120-140,"nylon guitar, soft percussion, upright bass",gentle airy,Antonio Carlos Jobim; Astrud Gilberto; João Gilberto; Stan Getz,"light plate verb, gentle stereo width, soft highs",1960s,"Bossa nova with nylon-string guitar patterns, gentle percussion rhythms, upright bass grooves, airy breathy vocals, romantic melodies, light plate reverb, soft high frequencies, gentle stereo width, breezy relaxed feel, Brazilian sophistication"
Lo-fi - Study Beats,"focused, mellow",70-90,"dusty drums, jazzy chords, soft bass",chopped vocal bits,Jinsang; Nohidea; Kupla; Wun Two,"LP filter on intros, sidechain to kick, vinyl hiss",2010s-2020s,"Lo-fi study beats with dusty drum loops, jazzy chord progressions, soft bass foundation, LP filter on intro, kick sidechain ducking, vinyl hiss layer, loopable structure, calm focused atmosphere, mellow vibes, relaxing background music"
Cinematic - Epic,"heroic, soaring",70-100,"strings, brass, big drums, choirs",choral/stacked,Hans Zimmer; Two Steps From Hell; Audiomachine; Immediate Music,"orchestral bus, big rooms, dynamic crescendos",2000s-2020s,"Epic cinematic orchestral with powerful percussion hits, soaring string sections, brass fanfare swells, choir vocal layers, massive crescendo builds, big hall reverb, dynamic range expression, heroic melodic themes, emotional arc storytelling"
UK Garage - 2-Step,"bouncy, playful",128-135,"shuffled drums, organ stabs, sub bass",chopped phrases,MJ Cole; Artful Dodger; Craig David; Wookie,"swingy shuffles, crisp snare, subtle pitch FX",1990s-2000s,"UK Garage 2-step with shuffled drum bounce, organ stab accents, deep sub bass, chopped vocal phrases, swingy rhythm patterns, crisp snare cuts, subtle pitch effects, playful club energy, tight groove pocket"
Jazz - Big Band,"festive, bold",120-180,"horn sections, walking bass, swing kit",crooner,Frank Sinatra; Count Basie; Duke Ellington; Glenn Miller,"tight horn voicings, roomy hall verb, crisp ride",1930s-1950s,"Big band swing with punchy horn section voicings, walking bass lines, swing drum kit, crooner vocal style, roomy hall reverb, crisp ride cymbal, tight ensemble playing, festive bold energy, classic 1940s sophistication"
Ambient - Drone,"calm, meditative",55-75,"pads, piano swells, field recordings",wordless oohs,Brian Eno; Hammock; Stars of the Lid; Tim Hecker,"long tails, very soft transients, wide stereo",1970s-2020s,"Ambient drone with evolving pad textures, gentle piano swells, field recording layers, wordless vocal oohs, long reverb tails, very soft transients, wide stereo imaging, no drum elements, calm meditative atmosphere, spacious peaceful environment"
Cinematic - Emotional Piano,"tender, reflective",60-80,"felt piano, soft strings, subtle pads",light breathy,Max Richter; Ludovico Einaudi; Ólafur Arnalds; Nils Frahm,"felt pedal noise, intimate close mics, soft compression",2000s-2020s,"Emotional piano with intimate felt hammer tone, soft string accompaniment, subtle pad atmosphere, light breathy vocals, close microphone placement, gentle dynamic compression, minimalist arrangement, tender reflective mood, moving melodic phrases, pedal noise detail"
Lo-fi - VHS Dream,"hazy, nostalgic",70-95,"warbly synths, cassette drums, chorus bass",soft whisper,HOME; Boards of Canada; Tycho; Com Truise,"wow/flutter, tape wear, softened highs",2010s-2020s,"VHS lo-fi with warbly analog synths, cassette-style drums, chorus bass wobble, soft whisper vocals, wow-flutter tape effects, tape wear artifacts, softened high frequencies, hazy nostalgic textures, dreamy atmosphere, vintage home video aesthetic"
Blues - Electric,"raw, soulful",90-120,"electric guitar, harmonica, shuffle drums",gravelly vocals,B.B. King; Stevie Ray Vaughan; Muddy Waters; Albert King,"tube amp distortion, spring reverb, tight drums",1950s-1970s,"Electric blues with soulful guitar bending, harmonica crying, shuffle drum groove, gravelly vocal grit, tube amp distortion character, spring reverb ambiance, tight rhythm section, raw emotional expression, classic blues scale phrases"
Gospel - Traditional,"uplifting, spiritual",80-110,"organ, piano, choir, tambourine",powerful harmonies,Kirk Franklin; Mahalia Jackson; Aretha Franklin; The Clark Sisters,"church reverb, warm organ, layered vocals",1920s-2020s,"Traditional gospel with powerful vocal harmonies, church organ swells, piano accompaniment, tambourine rhythm, choir backing vocals, church hall reverb, warm organ tone, layered vocal stacks, uplifting spiritual message, soul-stirring joyful energy"
Disco - Classic,"danceable, glamorous",120-130,"four-on-floor drums, strings, horns",diva vocals,Donna Summer; Bee Gees; Chic; Gloria Gaynor,"tight compression, bright strings, punchy kick",1970s,"Classic disco with four-on-the-floor kick drum, lush string arrangements, horn section stabs, diva vocal power, tight mix compression, bright shimmering strings, punchy kick presence, danceable groove, glamorous sophisticated production"
Reggae - Roots,"laid-back, conscious",70-90,"offbeat guitar, skank drums, bass",Jamaican patois,Bob Marley; Peter Tosh; Burning Spear; Dennis Brown,"spring reverb, warm bass, offbeat rhythm",1970s-1980s,"Roots reggae with offbeat guitar skank, laid-back drum patterns, deep dubby bass, Jamaican patois vocals, spring reverb space, conscious lyrical message, warm bass foundation, organic rhythm section, spiritual uplifting vibe"
Electronic - Ambient,"atmospheric, ethereal",60-90,"pads, arps, soft percussion",wordless vocals,Aphex Twin; Boards of Canada; Burial; Four Tet,"long reverbs, soft filters, evolving textures",1990s-2020s,"Ambient electronic with atmospheric pad evolution, soft arpeggiator patterns, gentle percussion elements, wordless ethereal vocals, long reverb decay, soft filter sweeps, evolving sound textures, meditative peaceful atmosphere, spacious soundscape design"
Alternative - Grunge,"raw, angsty",100-140,"distorted guitars, heavy drums",raspy vocals,Nirvana; Pearl Jam; Soundgarden; Alice in Chains,"raw distortion, roomy drums, gritty vocals",1990s,"Grunge with heavy guitar distortion, roomy drum ambiance, raw vocal rasp, angsty emotional delivery, alternative rock energy, gritty production aesthetic, dynamic quiet-loud sections, authentic garage feel, 90s Seattle sound"
World - Fusion,"exotic, rhythmic",90-130,"ethnic instruments, modern production",multilingual,Bombay Dub Orchestra; Dead Can Dance; Enigma; Deep Forest,"world percussion, ethnic scales, modern mix",1980s-2020s,"World fusion with ethnic traditional instruments, modern electronic production, exotic scale systems, multilingual vocal delivery, world percussion layers, cultural rhythmic patterns, contemporary mixing techniques, cross-cultural blend, sophisticated arrangement complexity"
Experimental - Avant-garde,"unconventional, artistic",variable,"unusual instruments, textures",experimental vocals,Bjork; Radiohead; Animal Collective; Sigur Rós,"unconventional mixing, artistic effects",1960s-2020s,"Avant-garde experimental with unconventional song structures, unusual instrument combinations, artistic sound effects, experimental vocal processing, boundary-pushing production techniques, abstract sonic textures, innovative arrangement concepts, cerebral artistic expression, challenging conventional forms"
Chillout - Downtempo,"relaxed, atmospheric",70-100,"soft synths, gentle percussion",breathy vocals,Zero 7; Thievery Corporation; Morcheeba; Air,"soft compression, warm pads, gentle rhythms",1990s-2010s,"Downtempo chillout with soft synth textures, gentle percussion rhythms, atmospheric vocal breath, warm pad layers, soft compression glue, relaxed sophisticated vibe, gentle rhythmic movement, lounging background atmosphere, smooth transitions"
Electronic - Synthpop,"retro-futuristic, danceable",120-140,"analog synths, drum machine, bass",melodic pop,Pet Shop Boys; Depeche Mode; New Order; Erasure,"crisp digital drums, lush pads, chorus effects",1980s,"Synthpop with analog synthesizer layers, drum machine precision, melodic bass synth, retro-futuristic aesthetic, crisp digital drums, lush pad atmospheres, chorus effect processing, danceable grooves, catchy pop vocal melodies, 80s inspired production"
Rock - Progressive,"complex, epic",100-180,"complex guitars, keyboards, odd time signatures",dramatic vocals,Pink Floyd; Rush; Yes; Genesis,"layered production, dynamic range, concept themes",1970s-1980s,"Progressive rock with complex time signature changes, intricate guitar arrangements, keyboard orchestration layers, dramatic vocal storytelling, epic song structures, dynamic range contrast, concept album themes, musically sophisticated composition, layered multi-track production"
Electronic - Breakbeat,"energetic, rhythmic",130-150,"chopped breaks, bass, samples",rap vocals,The Chemical Brothers; Fatboy Slim; The Prodigy; Basement Jaxx,"big beats, filter sweeps, sample manipulation",1990s-2000s,"Breakbeat electronic with chopped drum breaks, heavy bass foundation, energetic sample manipulation, big beat energy, filter sweep transitions, dancefloor-focused production, rap vocal integration, rhythmic sample cuts, club-ready dynamics"
Blues - Delta,"raw, emotional",60-90,"acoustic guitar, harmonica, slide",raspy vocals,Robert Johnson; Muddy Waters; Son House; Charley Patton,"raw recording, slide guitar, emotional delivery",1920s-1940s,"Delta blues with raw acoustic guitar, slide guitar techniques, harmonica blues phrases, raspy emotional vocals, authentic field recording aesthetic, minimal production interference, powerful emotional delivery, traditional blues structure, roots music purity"
Electronic - IDM,"intelligent, complex",80-140,"complex rhythms, glitchy textures",experimental vocals,Aphex Twin; Autechre; Squarepusher; Venetian Snares,"intricate programming, glitch effects, complex time signatures",1990s-2020s,"Intelligent dance music with complex rhythm programming, glitchy texture layers, experimental vocal processing, intricate time signature manipulation, cerebral composition approach, innovative sound design, complex harmonic progression, futuristic aesthetic, genre-defying creativity"
Rock - Psychedelic,"trippy, experimental",90-130,"distorted guitars, effects, organ",dreamy vocals,The Beatles; Pink Floyd; Jefferson Airplane; The Doors,"reverb, delay, phaser effects, concept themes",1960s-1970s,"Psychedelic rock with trippy guitar effects, phaser modulation, organ swells, dreamy vocal harmonies, reverb-drenched atmosphere, experimental song structures, delay feedback trails, mind-expanding themes, colorful sonic palette, 60s countercultural spirit"
Electronic - Trance,"euphoric, uplifting",130-140,"arpeggiated synths, rolling bass, pads",ethereal vocals,Armin van Buuren; Above & Beyond; Tiësto; Paul van Dyk,"build-ups, breakdowns, euphoric drops",1990s-2020s,"Trance with euphoric chord progressions, arpeggiated synth patterns, rolling sub bass, ethereal vocal samples, dramatic build-up sections, epic breakdown moments, uplifting melodic themes, emotional peak moments, dancefloor energy"
Jazz - Fusion,"complex, energetic",100-160,"electric instruments, odd time signatures",instrumental focus,Miles Davis; Weather Report; Herbie Hancock; Return to Forever,"complex harmonies, improvisation, electric instruments",1970s-1980s,"Jazz fusion with electric instrument timbres, complex harmonic progressions, odd time signature passages, improvised solo sections, rock energy fusion, sophisticated chord voicings, electric bass grooves, virtuosic instrumental interplay"
Electronic - Dubstep,"dark, heavy",140-150,"wobble bass, sparse drums, atmospherics",minimal vocals,Skrillex; Burial; Benga; Skream,"heavy bass drops, sparse arrangements, dark atmospheres",2000s-2020s,"Dubstep with heavy wobble bass modulation, sparse drum programming, dark atmospheric pads, minimal vocal presence, intense bass drop sections, sparse arrangement space, sub-frequency rumble, aggressive LFO modulation, underground bass culture"
Rock - Grunge,"raw, angsty",100-140,"distorted guitars, heavy drums",raspy vocals,Nirvana; Soundgarden; Alice in Chains; Stone Temple Pilots,"raw distortion, roomy drums, gritty vocals",1990s,"Grunge with heavy distorted guitars, roomy drum recording, gritty vocal rasp, raw emotional angst, alternative 90s aesthetic, dynamic verse-chorus contrast, authentic garage production, Seattle sound influence, loud-quiet dynamics"
Electronic - Ambient House,"atmospheric, hypnotic",110-125,"house beats, ambient pads, samples",wordless vocals,The Orb; Global Communication; Future Sound of London; The KLF,"long reverbs, atmospheric textures, steady beats",1990s-2000s,"Ambient house with steady four-on-the-floor pulse, atmospheric pad textures, ambient sample layers, wordless vocal elements, hypnotic repetitive groove, long reverb ambiance, meditative club atmosphere, spacious mix depth"
Blues - Chicago,"urban, electric",90-120,"electric guitar, harmonica, rhythm section",powerful vocals,Muddy Waters; Howlin' Wolf; Willie Dixon; Buddy Guy,"electric amplification, urban grit, powerful delivery",1940s-1960s,"Chicago blues with electric guitar amplification, harmonica blues riffs, urban rhythm section, powerful vocal projection, electric amplified tone, urban gritty atmosphere, shuffle groove foundation, post-war blues evolution"
Electronic - Techno,"mechanical, driving",120-130,"synthetic drums, bass, minimal elements",minimal vocals,Jeff Mills; Richie Hawtin; Carl Cox; Sven Väth,"mechanical precision, minimal arrangements, driving rhythm",1980s-2020s,"Techno with mechanical drum precision, synthetic bass synthesis, minimal arrangement elements, driving 4-on-the-floor kick, relentless rhythmic pulse, stripped-down aesthetic, underground club atmosphere, hypnotic repetition, industrial precision"
Rock - Alternative,"edgy, diverse",90-140,"varied instrumentation, experimental sounds",alternative vocals,Radiohead; Arcade Fire; The Smashing Pumpkins; Modest Mouse,"experimental production, diverse arrangements, artistic expression",1990s-2020s,"Alternative rock with experimental production techniques, diverse instrumental arrangements, edgy unconventional sounds, artistic vocal expression, genre-blending creativity, innovative song structures, independent spirit, boundary-pushing arrangements"
Electronic - Drum & Bass,"fast, complex",160-180,"breakbeats, sub bass, complex rhythms",rap vocals,Goldie; LTJ Bukem; Roni Size; Andy C,"fast breaks, sub bass, complex programming",1990s-2020s,"Drum and bass with fast breakbeat programming, deep sub bass foundation, complex rhythmic patterns, rapid tempo energy, intricate drum edits, bass-heavy mix balance, high-energy sophistication, underground rave culture"
Blues - Soul,"emotional, powerful",70-100,"organ, horns, rhythm section",soulful vocals,Ray Charles; Aretha Franklin; Otis Redding; Sam Cooke,"emotional delivery, powerful vocals, gospel influence",1950s-1970s,"Soul blues with emotional vocal power, organ backing swells, horn section punctuation, gospel-influenced phrasing, rhythm section groove, powerful heartfelt delivery, church-influenced dynamics, soul stirring expression"
Electronic - Minimal,"sparse, hypnotic",120-130,"minimal elements, subtle changes",minimal vocals,Ricardo Villalobos; Richie Hawtin; Stephan Bodzin; Extrawelt,"sparse arrangements, subtle variations, hypnotic repetition",2000s-2020s,"Minimal electronic with sparse arrangement choices, subtle sonic variations, hypnotic repetitive elements, focused sound palette, minimal vocal presence, gradual textural evolution, meditative listening experience, stripped-down production aesthetic"
Rock - Post-Rock,"atmospheric, instrumental",60-120,"guitars, strings, experimental structures",instrumental focus,Explosions in the Sky; Godspeed You! Black Emperor; Sigur Rós; Mogwai,"atmospheric textures, crescendo builds, cinematic scope",1990s-2020s,"Post-rock with atmospheric guitar textures, crescendo build structures, cinematic sonic scope, instrumental-focused arrangement, experimental rock elements, dynamic loud-quiet contrasts, emotional arc storytelling, orchestral arrangement thinking"
Electronic - Future Garage,"atmospheric, urban",130-140,"garage beats, atmospheric pads, sub bass",chopped vocals,Burial; Mount Kimbie; James Blake; SBTRKT,"atmospheric textures, urban vibes, chopped samples",2000s-2020s,"Future garage with atmospheric pad layers, garage beat patterns, deep sub bass, chopped vocal samples, moody urban atmosphere, sophisticated production detail, UK bass culture influence, nocturnal city vibes"
Rock - British Invasion,"energetic, melodic",120-140,"electric guitars, bass, drums, harmonies",harmony vocals,The Beatles; The Rolling Stones; The Kinks; The Who,"clean production, vocal harmonies, melodic hooks",1960s,"British Invasion rock with clean electric guitars, vocal harmony layers, melodic bass lines, energetic drum grooves, infectious melodic hooks, clean 60s production, pop songwriting craft, Liverpool sound influence"
Rock - Psychedelic Pop,"trippy, colorful",100-130,"electric guitars, organ, effects",harmony vocals,The Beatles; The Beach Boys; The Byrds; The Zombies,"reverb, phaser, colorful arrangements, concept themes",1960s-1970s,"Psychedelic pop with trippy effect processing, colorful arrangement layers, harmony vocal stacks, reverb-phaser treatments, mind-expanding lyrical themes, experimental pop structures, 60s studio innovation, kaleidoscopic sonic colors"
Rock - Folk Rock,"earthy, introspective",80-120,"acoustic/electric guitars, bass, light drums",harmony vocals,The Byrds; Simon & Garfunkel; Crosby Stills & Nash; Buffalo Springfield,"natural reverb, acoustic textures, poetic lyrics",1960s-1970s,"Folk rock combining acoustic guitar textures, electric guitar accents, harmony vocal arrangements, poetic lyrical content, natural reverb spaces, introspective storytelling, earthy organic tones, 60s folk revival influence"
Rock - Garage Rock,"raw, rebellious",140-180,"distorted guitars, organ, simple drums",shouted vocals,The Sonics; The Seeds; The Stooges; MC5,"raw recording, fuzz guitar, rebellious energy",1960s,"Garage rock with raw fuzz guitar distortion, simple power chord progressions, organ stabs, shouted vocal delivery, rebellious DIY energy, lo-fi recording aesthetic, stripped-down instrumentation, proto-punk attitude"
Rock - Surf Rock,"sunny, reverb-drenched",120-160,"electric guitar, bass, drums",harmony vocals,The Beach Boys; Dick Dale; The Ventures; Jan & Dean,"spring reverb, surf guitar, sunny melodies",1960s,"Surf rock with spring reverb drenching, surf guitar techniques, tremolo picking patterns, harmony vocal layers, sunny beach melodies, Dick Dale influence, instrumental surf energy, 60s California vibes"
Rock - Mod,"stylish, danceable",120-140,"electric guitars, organ, bass",smooth vocals,The Who; The Small Faces; The Jam; The Kinks,"clean production, mod fashion, danceable rhythms",1960s,"Mod rock with clean production polish, stylish arrangement choices, organ backing layers, danceable rhythm sections, smooth vocal delivery, 60s British fashion influence, scooter rally energy, sophisticated pop craft"
Rock - Acid Rock,"experimental, heavy",90-130,"distorted guitars, effects, organ",psychedelic vocals,Jimi Hendrix; Cream; Jefferson Airplane; The Grateful Dead,"heavy distortion, experimental effects, psychedelic themes",1960s-1970s,"Acid rock with heavy guitar distortion, experimental effect processing, organ psychedelic swells, mind-altering vocal delivery, extended jam sections, psychedelic drug culture influence, heavy blues-rock foundation, 60s counterculture rebellion"
Rock - Soft Rock,"smooth, melodic",70-100,"acoustic guitars, strings, gentle drums",smooth vocals,Bread; America; Fleetwood Mac; The Eagles,"smooth production, melodic arrangements, gentle rhythms",1970s,"Soft rock with smooth production sheen, melodic arrangement craft, acoustic guitar foundation, gentle drum patterns, smooth accessible vocals, string orchestration touches, easy-listening appeal, 70s FM radio sound"
