style,mood,tempo_bpm,instrumentation,vocal_style,sample_artists,production_notes,decade_range,prompt
"Metal - Modern","aggressive, intense","120-180","7-string guitars, double-kick, synth layers","screamed/clean mix","Bring Me The Horizon; Architects; Periphery; Sleep Token","down-tuned guitars, parallel compression, wide rooms","2000s-2020s","Modern metal with down-tuned guitars, massive drums, and dynamic harsh/clean vocals. Heavy yet polished."
"Country - Outlaw","gritty, rebellious","95-115","telecaster, harmonica, shuffle drums","gravelly baritone","Johnny Cash; Waylon Jennings; Willie Nelson; Merle Haggard","spring reverb, tape slapback, dry kick","1960s-1970s","Outlaw country with twangy guitars, shuffle beats, and gritty vocals. Minimal polish, lots of attitude."
"Funk - 70s","playful, danceable","100-120","wah guitar, clav, horn stabs","call-and-response","James Brown; Chic; Parliament; Earth Wind & Fire","dry drums, tight bass, short room on horns","1970s","70s funk with tight basslines, wah guitars, and horn stabs. Dry, punchy, and super groovy."
"Drum & Bass - Liquid","flowing, uplifting","170-176","rolling breaks, warm bass, lush pads","airy hooks","High Contrast; Netsky; Calibre; Logistics","tight break edits, airy atmos, stereo wideners","2000s-2010s","Liquid DnB with rolling breaks, lush pads, and warm bass. Uplifting and smooth."
"Synthwave - Cinematic","neon, expansive","90-115","retro synths, big toms, arps","limited vocal lines","The Midnight; Kavinsky; Perturbator; Carpenter Brut","huge reverbs, tape saturation, sidechain pulses","2010s-2020s","Cinematic synthwave with retro arps, big toms, and neon pads. Nostalgic yet modern and expansive."
"Jazz - Lo-fi Lounge","relaxed, smoky","70-95","upright bass, brush kit, jazz guitar","soft lounge","Chet Baker; Stan Getz; Bill Evans; Miles Davis","tape hiss, gentle EQ tilt, close room","1950s-1960s","Lo-fi lounge jazz with brush drums, upright bass, and smoky guitar. Intimate and late-night."
"Latin - Bossa Nova","romantic, breezy","120-140","nylon guitar, soft percussion, upright bass","gentle airy","Antonio Carlos Jobim; Astrud Gilberto; João Gilberto; Stan Getz","light plate verb, gentle stereo width, soft highs","1960s","Bossa nova with nylon-string guitar, soft percussion, and airy vocals. Breezy and romantic."
"Lo-fi - Study Beats","focused, mellow","70-90","dusty drums, jazzy chords, soft bass","chopped vocal bits","Jinsang; Nohidea; Kupla; Wun Two","LP filter on intros, sidechain to kick, vinyl hiss","2010s-2020s","Study beats with jazzy chords, dusty drums, and mellow vibes. Keep it loopable and calm."
"Cinematic - Epic","heroic, soaring","70-100","strings, brass, big drums, choirs","choral/stacked","Hans Zimmer; Two Steps From Hell; Audiomachine; Immediate Music","orchestral bus, big rooms, dynamic crescendos","2000s-2020s","Epic cinematic with powerful drums, soaring strings, and brass. Massive crescendos and emotional arcs."
"UK Garage - 2-Step","bouncy, playful","128-135","shuffled drums, organ stabs, sub bass","chopped phrases","MJ Cole; Artful Dodger; Craig David; Wookie","swingy shuffles, crisp snare, subtle pitch FX","1990s-2000s","UK Garage 2-step with bouncy drums, organ stabs, and catchy chopped vox. Playful and crisp."
"Jazz - Big Band","festive, bold","120-180","horn sections, walking bass, swing kit","crooner","Frank Sinatra; Count Basie; Duke Ellington; Glenn Miller","tight horn voicings, roomy hall verb, crisp ride","1930s-1950s","Big band swing with punchy horns, walking bass, and crooner vocals. Lively, classy, and bold."
"Ambient - Drone","calm, meditative","55-75","pads, piano swells, field recordings","wordless oohs","Brian Eno; Hammock; Stars of the Lid; Tim Hecker","long tails, very soft transients, wide stereo","1970s-2020s","Ambient drones with evolving pads, gentle swells, and space. No drums. Meditative and airy."
"Cinematic - Emotional Piano","tender, reflective","60-80","felt piano, soft strings, subtle pads","light breathy","Max Richter; Ludovico Einaudi; Ólafur Arnalds; Nils Frahm","felt pedal noise, intimate close mics, soft compression","2000s-2020s","Emotional piano with intimate felt tone, soft strings, and gentle pads. Minimalist and moving."
"Lo-fi - VHS Dream","hazy, nostalgic","70-95","warbly synths, cassette drums, chorus bass","soft whisper","HOME; Boards of Canada; Tycho; Com Truise","wow/flutter, tape wear, softened highs","2010s-2020s","VHS-inspired lo-fi with warbly synths, cassette-style drums, and hazy textures. Dreamy and nostalgic."
"Blues - Electric","raw, soulful","90-120","electric guitar, harmonica, shuffle drums","gravelly vocals","B.B. King; Stevie Ray Vaughan; Muddy Waters; Albert King","tube amp distortion, spring reverb, tight drums","1950s-1970s","Electric blues with soulful guitar licks, harmonica, and gritty vocals. Raw emotion and classic shuffle rhythm."
"Gospel - Traditional","uplifting, spiritual","80-110","organ, piano, choir, tambourine","powerful harmonies","Kirk Franklin; Mahalia Jackson; Aretha Franklin; The Clark Sisters","church reverb, warm organ, layered vocals","1920s-2020s","Traditional gospel with powerful harmonies, organ, and uplifting spiritual message. Soul-stirring and joyful."
"Disco - Classic","danceable, glamorous","120-130","four-on-floor drums, strings, horns","diva vocals","Donna Summer; Bee Gees; Chic; Gloria Gaynor","tight compression, bright strings, punchy kick","1970s","Classic disco with four-on-the-floor beat, lush strings, and glamorous vocals. Danceable and sophisticated."
"Reggae - Roots","laid-back, conscious","70-90","offbeat guitar, skank drums, bass","Jamaican patois","Bob Marley; Peter Tosh; Burning Spear; Dennis Brown","spring reverb, warm bass, offbeat rhythm","1970s-1980s","Roots reggae with offbeat guitar, skank drums, and conscious lyrics. Laid-back groove with spiritual message."
"Electronic - Ambient","atmospheric, ethereal","60-90","pads, arps, soft percussion","wordless vocals","Aphex Twin; Boards of Canada; Burial; Four Tet","long reverbs, soft filters, evolving textures","1990s-2020s","Ambient electronic with evolving pads, soft arps, and atmospheric textures. Ethereal and meditative."
"Alternative - Grunge","raw, angsty","100-140","distorted guitars, heavy drums","raspy vocals","Nirvana; Pearl Jam; Soundgarden; Alice in Chains","raw distortion, roomy drums, gritty vocals","1990s","Grunge with heavy distortion, raw drums, and angsty vocals. Raw emotion and alternative rock energy."
"World - Fusion","exotic, rhythmic","90-130","ethnic instruments, modern production","multilingual","Bombay Dub Orchestra; Dead Can Dance; Enigma; Deep Forest","world percussion, ethnic scales, modern mix","1980s-2020s","World fusion combining traditional ethnic instruments with modern production. Exotic scales and rhythmic complexity."
"Experimental - Avant-garde","unconventional, artistic","variable","unusual instruments, textures","experimental vocals","Bjork; Radiohead; Animal Collective; Sigur Rós","unconventional mixing, artistic effects","1960s-2020s","Avant-garde experimental with unconventional structures, unusual instruments, and artistic production. Pushing boundaries."
"Chillout - Downtempo","relaxed, atmospheric","70-100","soft synths, gentle percussion","breathy vocals","Zero 7; Thievery Corporation; Morcheeba; Air","soft compression, warm pads, gentle rhythms","1990s-2010s","Downtempo chillout with soft synths, gentle percussion, and atmospheric vocals. Relaxed and sophisticated."
"Electronic - Synthpop","retro-futuristic, danceable","120-140","analog synths, drum machine, bass","melodic pop","Pet Shop Boys; Depeche Mode; New Order; Erasure","crisp digital drums, lush pads, chorus effects","1980s","Synthpop with analog synthesizers, drum machines, and melodic pop vocals. Retro-futuristic and danceable."
"Rock - Progressive","complex, epic","100-180","complex guitars, keyboards, odd time signatures","dramatic vocals","Pink Floyd; Rush; Yes; Genesis","layered production, dynamic range, concept themes","1970s-1980s","Progressive rock with complex arrangements, odd time signatures, and epic storytelling. Musically sophisticated."
"Electronic - Breakbeat","energetic, rhythmic","130-150","chopped breaks, bass, samples","rap vocals","The Chemical Brothers; Fatboy Slim; The Prodigy; Basement Jaxx","big beats, filter sweeps, sample manipulation","1990s-2000s","Breakbeat electronic with chopped drum breaks, heavy bass, and energetic samples. Dancefloor focused."
"Blues - Delta","raw, emotional","60-90","acoustic guitar, harmonica, slide","raspy vocals","Robert Johnson; Muddy Waters; Son House; Charley Patton","raw recording, slide guitar, emotional delivery","1920s-1940s","Delta blues with raw acoustic guitar, slide techniques, and emotional vocals. Authentic and powerful."
"Electronic - IDM","intelligent, complex","80-140","complex rhythms, glitchy textures","experimental vocals","Aphex Twin; Autechre; Squarepusher; Venetian Snares","intricate programming, glitch effects, complex time signatures","1990s-2020s","Intelligent Dance Music with complex rhythms, glitchy textures, and experimental production. Cerebral and innovative."
"Rock - Psychedelic","trippy, experimental","90-130","distorted guitars, effects, organ","dreamy vocals","The Beatles; Pink Floyd; Jefferson Airplane; The Doors","reverb, delay, phaser effects, concept themes","1960s-1970s","Psychedelic rock with trippy effects, experimental structures, and mind-expanding themes. Colorful and innovative."
"Electronic - Trance","euphoric, uplifting","130-140","arpeggiated synths, rolling bass, pads","ethereal vocals","Armin van Buuren; Above & Beyond; Tiësto; Paul van Dyk","build-ups, breakdowns, euphoric drops","1990s-2020s","Trance with euphoric builds, arpeggiated synths, and uplifting melodies. Emotional and danceable."
"Jazz - Fusion","complex, energetic","100-160","electric instruments, odd time signatures","instrumental focus","Miles Davis; Weather Report; Herbie Hancock; Return to Forever","complex harmonies, improvisation, electric instruments","1970s-1980s","Jazz fusion combining jazz harmony with rock energy and electronic elements. Complex and improvisational."
"Electronic - Dubstep","dark, heavy","140-150","wobble bass, sparse drums, atmospherics","minimal vocals","Skrillex; Burial; Benga; Skream","heavy bass drops, sparse arrangements, dark atmospheres","2000s-2020s","Dubstep with heavy wobble bass, sparse drums, and dark atmospheres. Intense drops and minimal vocals."
"Rock - Grunge","raw, angsty","100-140","distorted guitars, heavy drums","raspy vocals","Nirvana; Soundgarden; Alice in Chains; Stone Temple Pilots","raw distortion, roomy drums, gritty vocals","1990s","Grunge with heavy distortion, raw drums, and angsty vocals. Raw emotion and alternative rock energy."
"Electronic - Ambient House","atmospheric, hypnotic","110-125","house beats, ambient pads, samples","wordless vocals","The Orb; Global Communication; Future Sound of London; The KLF","long reverbs, atmospheric textures, steady beats","1990s-2000s","Ambient house combining steady beats with atmospheric textures and samples. Hypnotic and meditative."
"Blues - Chicago","urban, electric","90-120","electric guitar, harmonica, rhythm section","powerful vocals","Muddy Waters; Howlin' Wolf; Willie Dixon; Buddy Guy","electric amplification, urban grit, powerful delivery","1940s-1960s","Chicago blues with electric amplification, urban grit, and powerful vocals. Urban and electrified."
"Electronic - Techno","mechanical, driving","120-130","synthetic drums, bass, minimal elements","minimal vocals","Jeff Mills; Richie Hawtin; Carl Cox; Sven Väth","mechanical precision, minimal arrangements, driving rhythm","1980s-2020s","Techno with mechanical precision, synthetic sounds, and driving 4/4 rhythm. Minimal and relentless."
"Rock - Alternative","edgy, diverse","90-140","varied instrumentation, experimental sounds","alternative vocals","Radiohead; Arcade Fire; The Smashing Pumpkins; Modest Mouse","experimental production, diverse arrangements, artistic expression","1990s-2020s","Alternative rock with experimental production, diverse arrangements, and artistic expression. Edgy and innovative."
"Electronic - Drum & Bass","fast, complex","160-180","breakbeats, sub bass, complex rhythms","rap vocals","Goldie; LTJ Bukem; Roni Size; Andy C","fast breaks, sub bass, complex programming","1990s-2020s","Drum & Bass with fast breakbeats, deep sub bass, and complex rhythmic programming. High-energy and sophisticated."
"Blues - Soul","emotional, powerful","70-100","organ, horns, rhythm section","soulful vocals","Ray Charles; Aretha Franklin; Otis Redding; Sam Cooke","emotional delivery, powerful vocals, gospel influence","1950s-1970s","Soul blues combining emotional delivery with powerful vocals and gospel influence. Heartfelt and powerful."
"Electronic - Minimal","sparse, hypnotic","120-130","minimal elements, subtle changes","minimal vocals","Ricardo Villalobos; Richie Hawtin; Stephan Bodzin; Extrawelt","sparse arrangements, subtle variations, hypnotic repetition","2000s-2020s","Minimal electronic with sparse arrangements, subtle variations, and hypnotic repetition. Focused and meditative."
"Rock - Post-Rock","atmospheric, instrumental","60-120","guitars, strings, experimental structures","instrumental focus","Explosions in the Sky; Godspeed You! Black Emperor; Sigur Rós; Mogwai","atmospheric textures, crescendo builds, cinematic scope","1990s-2020s","Post-rock with atmospheric textures, crescendo builds, and cinematic scope. Instrumental and emotional."
"Electronic - Future Garage","atmospheric, urban","130-140","garage beats, atmospheric pads, sub bass","chopped vocals","Burial; Mount Kimbie; James Blake; SBTRKT","atmospheric textures, urban vibes, chopped samples","2000s-2020s","Future garage with atmospheric textures, urban vibes, and chopped vocal samples. Moody and sophisticated."
"Rock - British Invasion","energetic, melodic","120-140","electric guitars, bass, drums, harmonies","harmony vocals","The Beatles; The Rolling Stones; The Kinks; The Who","clean production, vocal harmonies, melodic hooks","1960s","British Invasion rock with clean guitars, vocal harmonies, and melodic songwriting. Energetic and infectious."
"Rock - Psychedelic Pop","trippy, colorful","100-130","electric guitars, organ, effects","harmony vocals","The Beatles; The Beach Boys; The Byrds; The Zombies","reverb, phaser, colorful arrangements, concept themes","1960s-1970s","Psychedelic pop with trippy effects, colorful arrangements, and harmony vocals. Mind-expanding and melodic."
"Rock - Folk Rock","earthy, introspective","80-120","acoustic/electric guitars, bass, light drums","harmony vocals","The Byrds; Simon & Garfunkel; Crosby Stills & Nash; Buffalo Springfield","natural reverb, acoustic textures, poetic lyrics","1960s-1970s","Folk rock combining acoustic textures with electric elements and harmony vocals. Earthy and introspective."
"Rock - Garage Rock","raw, rebellious","140-180","distorted guitars, organ, simple drums","shouted vocals","The Sonics; The Seeds; The Stooges; MC5","raw recording, fuzz guitar, rebellious energy","1960s","Garage rock with raw fuzz guitar, simple arrangements, and rebellious energy. Raw and energetic."
"Rock - Surf Rock","sunny, reverb-drenched","120-160","electric guitar, bass, drums","harmony vocals","The Beach Boys; Dick Dale; The Ventures; Jan & Dean","spring reverb, surf guitar, sunny melodies","1960s","Surf rock with spring reverb, surf guitar techniques, and sunny harmony vocals. Beach vibes and reverb-drenched."
"Rock - Mod","stylish, danceable","120-140","electric guitars, organ, bass","smooth vocals","The Who; The Small Faces; The Jam; The Kinks","clean production, mod fashion, danceable rhythms","1960s","Mod rock with clean production, stylish arrangements, and danceable rhythms. Fashionable and energetic."
"Rock - Acid Rock","experimental, heavy","90-130","distorted guitars, effects, organ","psychedelic vocals","Jimi Hendrix; Cream; Jefferson Airplane; The Grateful Dead","heavy distortion, experimental effects, psychedelic themes","1960s-1970s","Acid rock with heavy distortion, experimental effects, and psychedelic themes. Experimental and heavy."
"Rock - Soft Rock","smooth, melodic","70-100","acoustic guitars, strings, gentle drums","smooth vocals","Bread; America; Fleetwood Mac; The Eagles","smooth production, melodic arrangements, gentle rhythms","1970s","Soft rock with smooth production, melodic arrangements, and gentle rhythms. Smooth and accessible."
"Rock - Glam Rock","theatrical, flamboyant","120-140","electric guitars, piano, drums","dramatic vocals","David Bowie; T. Rex; Queen; Roxy Music","theatrical production, flamboyant style, dramatic vocals","1970s","Glam rock with theatrical production, flamboyant style, and dramatic vocals. Theatrical and flamboyant."
"Rock - Hard Rock","powerful, aggressive","120-160","heavy guitars, bass, drums","powerful vocals","Led Zeppelin; Deep Purple; Black Sabbath; AC/DC","heavy distortion, powerful drums, aggressive energy","1970s","Hard rock with heavy distortion, powerful drums, and aggressive energy. Powerful and driving."
"Rock - Art Rock","sophisticated, experimental","80-140","varied instrumentation, complex arrangements","dramatic vocals","Pink Floyd; Genesis; Yes; King Crimson","sophisticated production, concept themes, experimental structures","1970s","Art rock with sophisticated production, concept themes, and experimental structures. Intellectual and artistic."
"Rock - Country Rock","earthy, authentic","80-120","acoustic guitars, pedal steel, bass","harmony vocals","The Eagles; Crosby, Stills & Nash; The Byrds; Gram Parsons","country instrumentation, harmony vocals, authentic sound","1970s","Country rock combining country instrumentation with rock energy and harmony vocals. Earthy and authentic."
"Rock - Southern Rock","rebellious, soulful","100-140","electric guitars, organ, bass","soulful vocals","Lynyrd Skynyrd; The Allman Brothers; The Marshall Tucker Band; .38 Special","southern soul, rebellious attitude, guitar solos","1970s","Southern rock with soulful vocals, rebellious attitude, and extended guitar solos. Soulful and rebellious."
"Rock - Arena Rock","epic, anthemic","100-130","big guitars, keyboards, powerful drums","anthemic vocals","Queen; Boston; Journey; Foreigner","big production, anthemic choruses, epic scope","1970s","Arena rock with big production, anthemic choruses, and epic scope. Larger than life and anthemic."
"Pop - Michael Jackson Style","dynamic, theatrical","110-130","synths, bass, drums, strings","powerful pop vocals","Michael Jackson; Prince; Stevie Wonder","big production, theatrical elements, danceable grooves","1980s-1990s","Michael Jackson-inspired pop with big production, theatrical elements, and danceable grooves. Dynamic and powerful."
"Pop - Thriller Era","dark, dramatic","120-140","synths, bass, orchestral elements","dramatic pop vocals","Michael Jackson; Quincy Jones; Janet Jackson","cinematic production, dark themes, orchestral arrangements","1980s","Thriller-era pop with cinematic production, dark themes, and orchestral arrangements. Dramatic and sophisticated."
"Pop - Off the Wall","disco-funk, smooth","110-125","disco bass, strings, horns","smooth pop vocals","Michael Jackson; Quincy Jones; Earth Wind & Fire","disco-funk fusion, smooth production, danceable rhythms","1970s-1980s","Off the Wall-style pop with disco-funk fusion, smooth production, and danceable rhythms. Smooth and infectious."
"Pop - Bad Era","aggressive, polished","115-135","synths, guitars, heavy drums","aggressive pop vocals","Michael Jackson; Prince; Madonna","aggressive production, polished sound, rock elements","1980s","Bad-era pop with aggressive production, polished sound, and rock elements. Powerful and edgy."
"Pop - Dangerous Era","experimental, urban","100-120","hip-hop beats, synths, samples","urban pop vocals","Michael Jackson; Teddy Riley; Janet Jackson","hip-hop fusion, experimental production, urban elements","1990s","Dangerous-era pop with hip-hop fusion, experimental production, and urban elements. Innovative and contemporary."
"Pop - Motown Soul","smooth, soulful","90-110","strings, horns, rhythm section","soulful pop vocals","Michael Jackson; Stevie Wonder; Diana Ross; Marvin Gaye","Motown production, soulful arrangements, smooth vocals","1960s-1970s","Motown soul pop with classic production, soulful arrangements, and smooth vocals. Timeless and soulful."
"Pop - Jackson 5 Era","upbeat, youthful","120-140","guitars, bass, drums, harmonies","youthful pop vocals","Michael Jackson; The Jackson 5; Stevie Wonder","upbeat production, youthful energy, harmony vocals","1970s","Jackson 5-era pop with upbeat production, youthful energy, and harmony vocals. Energetic and infectious."
"Jazz - Ragtime/Hot Jazz","lively, playful","90-130","piano, brass, clarinet, banjo","scat/crooner early","Louis Armstrong; Jelly Roll Morton; Bix Beiderbecke; Duke Ellington","mono-style mix, room mics, early jazz swing","1920s","Ragtime-to-hot-jazz era with lively brass, clarinet leads, and stride piano. Upbeat, danceable, and vintage."
"Pop - Crooner Traditional","romantic, classy","70-100","orchestra, strings, brushed drums","smooth crooner","Frank Sinatra; Nat King Cole; Dean Martin; Bing Crosby","warm hall reverb, rich strings, intimate vocal focus","1940s-1950s","Classic crooner pop with lush strings and smooth vocals. Elegant arrangements and warm hall ambiance."
"Rock - Rock and Roll Early","rebellious, upbeat","140-170","slap bass, electric guitar, piano","energetic shouts","Chuck Berry; Little Richard; Elvis Presley; Jerry Lee Lewis","slapback echo, bright guitars, driving shuffle","1950s","Early rock and roll with slapback vocals, boogie-woogie piano, and twangy guitars. Fast, fun, and raw."
"R&B - Doo-Wop","sweet, nostalgic","80-110","vocal harmonies, light drums, bass","doo-wop harmonies","The Platters; The Penguins; Frankie Lymon; The Drifters","tight vocal stacks, simple rhythm section, gentle plate","1950s-1960s","Doo-wop with stacked harmonies, simple rhythms, and romantic melodies. Smooth and nostalgic street-corner vibe."
"Rock - Rockabilly","twangy, driving","130-170","upright bass, slapback guitar, snare","echoed leads","Carl Perkins; Buddy Holly; Eddie Cochran; Gene Vincent","slapback delay, tight trio feel, room mics","1950s","Rockabilly with upright bass slap, slapback guitars, and stripped-down trio energy. Twangy and fast."
"Country - Honky Tonk","gritty, barroom","90-120","telecaster, pedal steel, piano","plainspoken drawl","Hank Williams; Lefty Frizzell; Ernest Tubb; Webb Pierce","dry vocals, spring reverb guitar, shuffle groove","1940s-1950s","Honky tonk country with tele twang, barroom piano, and shuffling drums. Heartache storytelling."
"Country - Nashville Sound","smooth, polished","85-110","strings, background vocals, clean guitars","smooth country croon","Patsy Cline; Jim Reeves; Eddy Arnold; Don Gibson","orchestral sweetening, gentle compression, radio polish","1950s-1960s","Nashville Sound with lush strings, backing vocals, and polished crooning. Smooth and radio-friendly."
"Folk - 60s Revival/Protest","earnest, reflective","70-100","acoustic guitar, harmonica, upright bass","plainspoken folk","Bob Dylan; Joan Baez; Peter Paul and Mary; Phil Ochs","natural room, close-miked vocals, minimal processing","1960s","1960s folk revival with protest lyricism, intimate acoustics, and earnest delivery. Simple and powerful."
"Pop - Baroque Pop","ornate, melodic","85-120","chamber strings, harpsichord, bass","harmonic pop","The Beach Boys; The Zombies; The Left Banke; The Beatles","chamber arrangements, tight vocal stacks, rich harmonies","1960s","Baroque pop blending orchestral textures with melodic songwriting. Lush harmonies and ornate arrangements."
"Rock - Punk 70s","raw, urgent","160-200","distorted guitars, fast kit, bass","shouted punk","Ramones; The Sex Pistols; The Clash; Buzzcocks","dry mix, fast tempos, minimal overdubs","1970s","1970s punk with fast drums, raw guitars, and shouted hooks. Stripped-down, high-energy rebellion."
"Pop - New Wave","quirky, polished","120-160","synths, clean guitars, drum machines","detached pop","Talking Heads; Blondie; The Cars; Duran Duran","crisp drums, chorus guitars, synth hooks","1980s","New wave with crisp drums, chorus guitars, and synth-driven hooks. Artsy yet radio-friendly."
"Rock - Post-Punk","moody, angular","120-160","bass-forward, sparse guitars, mechanical drums","detached vocals","Joy Division; Siouxsie and the Banshees; The Cure; Gang of Four","dry rooms, chorus/flange, stark arrangements","1978-1984","Post-punk with bass-led grooves, angular guitars, and minimalist drums. Dark, atmospheric, and artful."
"Disco - Italo/Hi-NRG","sleek, driving","118-130","synth bass, drum machines, strings","diva/male leads","Giorgio Moroder; Sabrina; Patrick Cowley; Donna Summer","four-on-the-floor, arpeggios, bright synth leads","1980s","Italo-disco/Hi-NRG with synth basslines, arps, and glossy dance production. Sleek, fast, and neon."
